x,y,handle,color
0,18,connection_to_heat_grid,#b600b6
2,18,refurbished,#b600b7
4,18,save_energy,#b600b8
11,18,connection_to_heat_grid,#00a84e
13,18,refurbished,#00a84e
15,18,save_energy,#00a84e
20,11,start_total_data_view,None
20,13,start_individual_data_view,None
20,15,start_simulation,None
20,2,connections_0,#C7C7C7
20,3,connections_20,#BCC7A5
20,4,connections_40,#A4C75F
20,5,connections_60,#B0D95D
20,6,connections_80,#A0DB2A
20,7,connections_100,#AAFF00
