x,y,handle,color
1,18,game_stage,blueviolet
3,18,num_connections,chartreuse3
5,18,scenario_energy_prices,darkorange
11,18,connection_to_heat_grid,aquamarine
13,18,refurbished,burlywood1
15,18,environmental_engagement,cadetblue1
