,id,osm_id,lons,lats,Straße
27,27,167224312,1013625.556747012 1013619.8683210323 1013615.8608193639 1013633.9391046683 1013637.9466063372 1013625.556747012 ,7206784.154277598 7206780.805507894 7206787.655265632 7206798.291429051 7206791.46068917 7206784.154277598 ,Neue Heimat
28,28,167224313,1013522.8088570095 1013533.9185421908 1013541.3324202776 1013542.0559969676 1013523.5435656487 1013522.8088570095 ,7207015.869771378 7207016.535739696 7207016.992403712 7207004.871788559 7207003.74915796 7207015.869771378 ,Im Redder
29,29,167224338,1013573.6707323531 1013556.3494195857 1013551.640605125 1013549.9708127632 1013572.0009399912 1013573.6707323531 ,7206863.155212835 7206861.480810988 7206861.043183291 7206878.377064183 7206880.508125725 7206863.155212835 ,Stettiner Straße
30,30,167224347,1013404.5318980417 1013414.3168812824 1013357.4660173343 1013356.5086697135 1013355.440002602 1013377.9042758439 1013370.1453073358 1013404.5318980417 ,7207043.8975722315 7206956.827147747 7206950.433902823 7206958.901147968 7206968.472000078 7206970.983637154 7207040.034943369 7207043.8975722315 ,Rüsdorfer Straße
31,31,167228812,1013433.4193059027 1013436.424932154 1013437.2598283349 1013445.7312415843 1013449.7610071511 1013451.842681629 1013447.4010339462 1013446.6997211543 1013446.1431237004 1013440.4546977207 1013438.6401900209 1013436.424932154 1013432.1168678603 1013426.8403239967 1013422.9441418191 1013415.8642222045 1013414.0274506065 1013435.0000426717 1013433.4193059027 ,7207303.173736774 7207303.744587603 7207306.104104819 7207307.4931757655 7207303.478190544 7207282.48993624 7207280.682246965 7207279.159982633 7207276.096426568 7207273.051899975 7207274.155540729 7207283.041757256 7207282.356738071 7207285.420296577 7207284.583050653 7207288.598026228 7207291.528388842 7207296.513813459 7207303.173736774 ,Hamburger Straße
32,32,167228814,1013201.518542682 1013194.4274911184 1013221.6451066176 1013228.736158181 1013201.518542682 ,7207237.6213084655 7207259.694053497 7207268.428027474 7207246.374286153 7207237.6213084655 ,Hamburger Straße
33,33,167228816,1013157.5807396659 1013170.8834188157 1013179.5440751995 1013160.1522199033 1013151.4915635195 1013157.5807396659 ,7207222.1133393105 7207226.223423861 7207198.34719807 7207192.315290548 7207220.210523117 7207222.1133393105 ,Hamburger Straße
34,34,167228819,1013309.4539209552 1013305.1458566615 1013321.1202035903 1013325.4282678842 1013309.4539209552 ,7207279.445407173 7207294.934461042 7207299.368065618 7207283.879003015 7207279.445407173 ,Hamburger Straße
35,35,167228820,1013170.8834188157 1013157.5807396659 1013150.411764459 1013163.7033116595 1013170.8834188157 ,7207226.223423861 7207222.1133393105 7207245.213564634 7207249.342689492 7207226.223423861 ,Hamburger Straße
36,36,167228822,1013143.3541087427 1013137.0311616653 1013149.1093264166 1013155.4322734937 1013143.3541087427 ,7207219.982185201 7207241.236667633 7207244.833000245 7207223.559479924 7207219.982185201 ,Hamburger Straße
37,37,167228823,1013470.0545503228 1013472.1250928513 1013463.965374176 1013462.6406722357 1013470.0545503228 ,7207317.78753112 7207304.715034111 7207303.934871224 7207316.664855856 7207317.78753112 ,Hamburger Straße
38,38,167228829,1013193.1807128217 1013183.7853477986 1013182.8168682288 1013174.7573370954 1013184.1527021185 1013193.1807128217 ,7207196.36827522 7207193.476004253 7207196.615640549 7207222.7793250885 7207225.671606831 7207196.36827522 ,Hamburger Straße
39,39,167228831,1013348.3823468856 1013365.1581941483 1013369.8781405579 1013352.1115498273 1013348.3823468856 ,7207306.674955862 7207311.241765714 7207295.543367962 7207292.955513884 7207306.674955862 ,Hamburger Straße
40,40,167228832,1013516.1630834093 1013500.1776045313 1013495.1793593947 1013504.8307592464 1013511.0980465782 1013516.1630834093 ,7207242.758924624 7207238.591746814 7207257.772199958 7207260.474211996 7207262.148698798 7207242.758924624 ,Hamburger Straße
41,41,167228834,1013369.8781405579 1013373.3401767213 1013355.6403776853 1013352.1115498273 1013369.8781405579 ,7207295.543367962 7207262.45315098 7207260.417127226 7207292.955513884 7207295.543367962 ,Hamburger Straße
42,42,167228837,1013406.6914961631 1013398.6208330805 1013393.1550460827 1013389.1252805159 1013402.6617305964 1013406.6914961631 ,7207298.321506371 7207296.818266976 7207295.790736411 7207317.330849635 7207319.861626533 7207298.321506371 ,Hamburger Straße
43,43,167228839,1013448.6589441922 1013446.0206722604 1013467.4051464417 1013470.0545503228 1013462.6406722357 1013448.6589441922 ,7207314.514647736 7207331.697300709 7207334.989219683 7207317.78753112 7207316.664855856 7207314.514647736 ,Hamburger Straße
44,44,167228840,1013451.842681629 1013449.7610071511 1013448.6589441922 1013462.6406722357 1013463.965374176 1013466.024784756 1013451.842681629 ,7207282.48993624 7207303.478190544 7207314.514647736 7207316.664855856 7207303.934871224 7207283.955116269 7207282.48993624 ,Hamburger Straße
45,45,167228843,1013327.2984353293 1013348.3823468856 1013352.1115498273 1013341.6475176926 1013331.027638271 1013327.2984353293 ,7207300.928390568 7207306.674955862 7207292.955513884 7207290.120292385 7207287.22798694 7207300.928390568 ,Hamburger Straße
46,46,167228844,1013240.5471561542 1013232.944034933 1013257.1114963843 1013265.939132004 1013255.4973637677 1013254.2839813181 1013240.5471561542 ,7207248.048769948 7207271.263241153 7207279.179010936 7207252.254009242 7207248.828927292 7207252.539432804 7207248.048769948 ,Hamburger Straße
47,47,167228845,1013431.9053608278 1013433.4193059027 1013435.0000426717 1013414.0274506065 1013406.9697948901 1013427.9535189047 1013444.6180466765 1013447.8129160622 1013431.9053608278 ,7207309.510183333 7207303.173736774 7207296.513813459 7207291.528388842 7207321.117501086 7207326.121972874 7207330.136969656 7207313.201689085 7207309.510183333 ,Hamburger Straße
48,48,167228846,1013288.4701969407 1013287.0230435603 1013284.9970288279 1013301.2608064329 1013304.5892592075 1013300.3479866084 1013288.4701969407 ,7207275.297238221 7207280.320709159 7207289.7206974905 7207293.754704024 7207279.445407173 7207278.341765682 7207275.297238221 ,Hamburger Straße
49,49,167228847,1013386.1530501118 1013385.3515497779 1013378.3495538072 1013374.8763856944 1013385.2958900327 1013391.5520454152 1013386.1530501118 ,7207286.029202758 7207291.661587165 7207290.691142268 7207313.468086478 7207315.827606605 7207287.494383448 7207286.029202758 ,Hamburger Straße
50,50,167228848,1013191.3884690198 1013188.3271830231 1013172.6867945666 1013166.2302641007 1013192.7465668076 1013202.2643832702 1013191.3884690198 ,7207225.842860385 7207235.318896384 7207230.27642601 7207250.294101055 7207258.837782061 7207229.344045049 7207225.842860385 ,Hamburger Straße
51,51,167228849,1013486.5743627563 1013481.5649856706 1013505.6322595802 1013509.3503305726 1013510.3299420916 1013498.7304511509 1013486.5743627563 ,7207279.997227981 7207298.740130053 7207305.171714862 7207291.204907197 7207286.333655867 7207283.2320403755 7207279.997227981 ,Hamburger Straße
52,52,167228850,1013544.5050257652 1013561.035970148 1013529.7663251841 1013513.2353808014 1013509.3503305726 1013505.6322595802 1013517.5545770441 1013538.3824537717 1013540.2748851151 1013544.5050257652 ,7207300.700050313 7207238.7439724505 7207230.390595118 7207292.346607171 7207291.204907197 7207305.171714862 7207308.330424123 7207306.808154445 7207299.558349133 7207300.700050313 ,Hamburger Straße
53,53,167228856,1013271.6609538308 1013264.0244367624 1013279.5869015754 1013281.4125412244 1013287.0230435603 1013288.4701969407 1013289.6056557469 1013283.9951534107 1013287.234550593 1013271.6609538308 ,7207254.023635498 7207280.549048822 7207285.039730236 7207278.703303392 7207280.320709159 7207275.297238221 7207271.339354286 7207269.721950368 7207258.495273515 7207254.023635498 ,Hamburger Straße
54,54,167317584,1013581.2181938288 1013573.0028154084 1013572.0232038891 1013558.6092052486 1013558.3531704198 1013553.0209668108 1013546.4197210069 1013542.9020250977 1013541.6775106991 1013540.3305448605 1013549.4476111564 1013547.4438603221 1013554.8020786636 1013554.4792521403 1013558.6537330451 1013562.3829359865 1013572.7913083758 1013574.3609131959 1013575.919386067 1013577.8006854615 1013579.9602835828 1013581.2181938288 ,7206275.78549944 7206273.730705232 7206277.650035394 7206274.301481345 7206275.3288784595 7206273.997067418 7206272.360842726 7206286.47804834 7206286.173633938 7206291.596017282 7206293.860101259 7206301.908068903 7206303.753585106 7206305.0283233505 7206306.074750426 7206291.158421295 7206293.745945746 7206287.448369333 7206287.847913306 7206280.3136589425 7206280.8463837635 7206275.78549944 ,Berliner Straße
55,55,167317588,1013683.2870349371 1013701.1315493113 1013705.4173497069 1013687.5728353327 1013683.2870349371 ,7206412.963252955 7206417.396360353 7206400.158626311 7206395.725528637 7206412.963252955 ,Berliner Straße
56,56,167317590,1013447.7683882659 1013460.6146575033 1013473.1492321667 1013460.3029629292 1013447.7683882659 ,7206714.28705971 7206730.916619013 7206721.250921226 7206704.602355449 7206714.28705971 ,Rüsdorfer Straße
57,57,167317592,1013467.8058966086 1013476.4554210432 1013488.8675442667 1013480.2291517811 1013467.8058966086 ,7206750.362212359 7206764.004599595 7206756.089348335 7206742.446974823 7206750.362212359 ,Rüsdorfer Straße
58,58,167317595,1013837.4533977367 1013855.743190074 1013863.7693253603 1013845.468401074 1013837.4533977367 ,7206593.409866724 7206601.210794294 7206582.431501273 7206574.611565738 7206593.409866724 ,Hans-Böckler-Straße
59,59,167317596,1013304.3888841241 1013305.3350997958 1013322.5339611234 1013321.5877454518 1013304.3888841241 ,7206822.89355805 7206835.698872973 7206834.443075934 7206821.618735861 7206822.89355805 ,Rüsdorfer Straße
60,60,167317604,1013467.3717505945 1013478.8821859426 1013493.398247542 1013481.8878121938 1013467.3717505945 ,7206673.18898618 7206688.296308614 7206677.222676484 7206662.134402129 7206673.18898618 ,Rüsdorfer Straße
61,61,167317608,1013564.386686821 1013583.3889238994 1013587.0735990446 1013568.0713619662 1013564.386686821 ,7206740.544274677 7206748.04091591 7206738.698655979 7206731.202023654 7206740.544274677 ,Rüsdorfer Straße
62,62,167317611,1013508.1814759192 1013503.7064323896 1013538.6607524984 1013543.1357960284 1013508.1814759192 ,7206337.220289065 7206361.859027964 7206368.213742261 7206343.574983448 7206337.220289065 ,Berliner Straße
