,id,name,lons,lats
0,0,Wärmespeicher,1013742.3301228378 1013742.2483815664 1013742.0041856961 1013741.6006061318 1013741.0427181205 1013740.3375374278 1013739.4939321099 1013738.5225109932 1013737.435490262 1013736.2465398324 1013734.9706114463 1013733.6237506432 1013732.2228949792 1013730.7856610272 1013729.3301228378 1013727.8745846484 1013726.4373506964 1013725.0364950324 1013723.6896342293 1013722.4137058432 1013721.2247554136 1013720.1377346824 1013719.1663135657 1013718.3227082478 1013717.6175275551 1013717.0596395438 1013716.6560599795 1013716.4118641092 1013716.3301228378 1013716.4118641092 1013716.6560599795 1013717.0596395438 1013717.6175275551 1013718.3227082478 1013719.1663135657 1013720.1377346824 1013721.2247554136 1013722.4137058432 1013723.6896342293 1013725.0364950324 1013726.4373506964 1013727.8745846484 1013729.3301228378 1013730.7856610272 1013732.2228949792 1013733.6237506432 1013734.9706114463 1013736.2465398324 1013737.435490262 1013738.5225109932 1013739.4939321099 1013740.3375374278 1013741.0427181205 1013741.6006061318 1013742.0041856961 1013742.2483815664 1013742.3301228378 ,7206478.816482813 7206477.360944624 7206475.923710671 7206474.522855008 7206473.175994204 7206471.900065819 7206470.711115389 7206469.624094658 7206468.652673541 7206467.809068223 7206467.10388753 7206466.5459995195 7206466.142419955 7206465.898224085 7206465.816482813 7206465.898224085 7206466.142419955 7206466.5459995195 7206467.10388753 7206467.809068223 7206468.652673541 7206469.624094658 7206470.711115389 7206471.900065819 7206473.175994204 7206474.522855008 7206475.923710671 7206477.360944624 7206478.816482813 7206480.272021002 7206481.709254955 7206483.110110618 7206484.456971422 7206485.732899807 7206486.921850237 7206488.008870969 7206488.980292086 7206489.823897403 7206490.529078096 7206491.086966107 7206491.490545671 7206491.734741542 7206491.816482813 7206491.734741542 7206491.490545671 7206491.086966107 7206490.529078096 7206489.823897403 7206488.980292086 7206488.008870969 7206486.921850237 7206485.732899807 7206484.456971422 7206483.110110618 7206481.709254955 7206480.272021002 7206478.816482813 
1,1,Heizzentrale,1013759.9847036946 1013771.187006512 1013756.4373078025 1013745.0482999382 1013759.9847036946 ,7206506.81231022 7206498.037173012 7206477.686322894 7206486.461460101 7206506.81231022 
