cycle,name,location.x,location.y,location.z,name,type,id,color,line,connected,momentToConnect,neighbors,connected_neighbors,individual_chance_to_connect
764,,226.88411716884,37.1273853003513,0,,MFH,167228831,"rgb (0, 255, 0,255)",nil,true,9,"[building(41),building(49),building(45)]","[building(41),building(45),building(49)]",0.155
764,,373.491329946043,86.3821297189221,0,,SON,167228832,"rgb (0, 255, 0,255)",nil,true,81,[building(52)],[building(52)],0.055
764,,230.744120512041,60.888996142894,0,,SON,167228834,"rgb (0, 255, 0,255)",nil,true,1,"[building(45),building(49),building(39)]","[building(39),building(45),building(49)]",0.155
764,,266.052436601766,33.1066889708862,0,,MFH,167228837,"rgb (0, 255, 0,255)",nil,true,36,"[building(31),building(47),building(49)]","[building(49),building(31),building(47)]",0.155
764,,326.957556404709,15.6005751350895,0,,M-MG,167228839,"rgb (0, 255, 0,255)",nil,true,46,"[building(31),building(37),building(47),building(44)]","[building(31),building(37),building(47),building(44)]",0.205
764,,325.150470004107,37.8916831777121,0,,SON,167228840,"rgb (0, 255, 0,255)",nil,true,49,"[building(31),building(37),building(47),building(51),building(43)]","[building(31),building(37),building(47),building(43),building(51)]",0.255
764,,208.09505691526,43.1498582281172,0,,MFH,167228843,"rgb (0, 255, 0,255)",nil,true,11,"[building(34),building(41),building(39)]","[building(41),building(39),building(34)]",0.155
764,,119.055420074243,80.0457209267964,0,,MFH,167228844,"rgb (0, 255, 0,255)",nil,true,33,"[building(32),building(53)]","[building(53),building(32)]",0.105
764,,298.214863881891,27.3182542677969,0,,SON,167228845,"rgb (0, 255, 0,255)",nil,true,45,"[building(37),building(31),building(42),building(43),building(44)]","[building(42),building(31),building(37),building(43),building(44)]",0.255
764,,162.449612910316,55.9178658644669,0,,M-MG,167228846,"rgb (0, 255, 0,255)",nil,true,16,"[building(34),building(53)]","[building(34),building(53)]",0.105
764,,251.597971787288,41.2026180356431,0,,MFH,167228847,"rgb (0, 255, 0,255)",nil,true,12,"[building(39),building(41),building(42)]","[building(41),building(39),building(42)]",0.155
764,,53.6088361120977,100.412267665534,0,,MFH,167228848,"rgb (0, 255, 0,255)",nil,true,27,"[building(36),building(32),building(33),building(35),building(38)]","[building(36),building(33),building(38),building(35),building(32)]",0.255
764,,366.69861461779,47.9513401002623,0,,EIK,167228849,"rgb (0, 255, 0,255)",nil,true,50,"[building(44),building(37),building(52)]","[building(37),building(44),building(52)]",0.155
764,expert,396.861249089901,52.8140889541763,0,expert,EIK,167228850,"rgb (0, 255, 0,255)",nil,true,77,"[building(51),building(40)]","[building(51),building(40)]",0.105
764,,149.447496385663,66.1212591007352,0,,MFH,167228856,"rgb (0, 255, 0,255)",nil,true,17,"[building(48),building(46)]","[building(48),building(46)]",0.105
764,,428.74438813632,1052.09377515644,0,,EFH,167317584,"rgb (0, 255, 0,255)",nil,true,68,[building(93)],[building(93)],0.055
764,,562.353751636081,932.170344091952,0,,EFH,167317588,"rgb (0, 255, 0,255)",nil,true,373,[building(64)],[building(64)],0.055
